Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
0,630,359,934,627,1350,692,1236,383,1794,1021,1157,742,1007,836
1,630,360,933,626,1349,691,1235,382,1795,1021,1156,743,1007,837
2,630,360,932,628,1351,690,1234,383,1795,1021,1156,744,1007,836
3,631,360,932,628,1349,690,1235,383,1795,1021,1156,744,1006,837
4,630,359,932,628,1350,691,1233,383,1794,1022,1157,744,1007,839
5,631,360,931,629,1350,690,1234,383,1795,1021,1157,746,1007,838
6,630,359,931,628,1351,690,1234,385,1795,1021,1156,746,1008,838
7,631,360,931,628,1350,690,1235,384,1795,1022,1156,747,1006,839
8,630,360,929,628,1350,690,1234,385,1795,1022,1157,746,1008,840
9,632,360,930,628,1350,690,1235,384,1795,1022,1157,747,1008,840
10,631,360,929,628,1350,690,1234,385,1795,1020,1159,747,1008,839
11,632,360,930,628,1350,691,1236,383,1795,1020,1158,747,1007,839
12,631,360,930,628,1350,690,1237,382,1795,1020,1159,747,1007,839
13,633,359,930,630,1349,690,1237,383,1795,1020,1158,747,1007,837
14,632,358,931,631,1350,690,1238,382,1795,1020,1160,747,1007,838
15,632,358,931,631,1350,690,1238,382,1796,1020,1159,746,1005,839
16,631,358,931,632,1350,690,1237,381,1794,1020,1160,746,1005,839
17,632,359,932,632,1350,688,1238,380,1795,1020,1161,747,1007,840
18,632,359,930,632,1350,688,1237,380,1795,1020,1161,747,1005,839
19,633,359,930,633,1349,688,1236,380,1795,1021,1161,748,1005,840
20,634,358,931,633,1350,689,1235,380,1795,1021,1160,748,1004,839
21,633,359,932,633,1349,688,1234,380,1795,1022,1161,746,1003,840
22,633,359,930,633,1350,690,1234,381,1794,1022,1161,747,1002,841
23,634,358,932,633,1349,689,1235,381,1795,1022,1162,747,1002,841
24,634,358,931,634,1350,690,1235,380,1795,1022,1162,746,1002,842
25,632,358,932,633,1348,690,1235,380,1795,1022,1162,745,1001,842
26,633,358,932,634,1348,690,1236,379,1795,1022,1163,745,1002,842
27,634,359,932,634,1347,689,1236,378,1795,1022,1163,746,1002,842
28,632,358,933,633,1348,688,1237,378,1794,1022,1162,747,1002,842
29,633,359,931,633,1348,688,1238,379,1795,1021,1162,745,1001,841
30,633,358,930,633,1348,688,1238,380,1795,1020,1163,747,1001,842
31,633,359,932,633,1349,688,1236,380,1794,1020,1162,746,1000,841
32,633,358,932,633,1349,689,1237,380,1794,1020,1164,747,1000,841
33,633,358,933,634,1348,690,1237,381,1795,1019,1166,746,1002,842
34,633,358,933,635,1348,690,1235,381,1794,1019,1166,747,1003,843
35,632,358,934,634,1348,690,1236,381,1795,1018,1165,746,1002,842
36,633,358,935,634,1348,689,1237,381,1795,1019,1164,747,1002,842
37,633,357,934,635,1348,689,1237,381,1797,1017,1165,746,1002,841
38,634,358,934,636,1347,691,1237,380,1796,1019,1166,747,1001,841
39,633,356,934,637,1348,690,1237,381,1797,1018,1165,746,1001,841
40,634,357,935,636,1347,690,1237,380,1798,1017,1165,746,1001,842
41,633,356,936,637,1347,688,1238,378,1797,1018,1167,746,1000,842
42,633,357,935,638,1348,690,1238,380,1797,1018,1166,747,1000,843
43,632,357,935,638,1347,690,1238,381,1796,1018,1164,749,999,842
44,632,357,935,637,1347,689,1237,382,1797,1018,1165,749,998,843
45,633,355,936,637,1348,688,1238,381,1798,1018,1165,749,999,842
46,634,355,937,638,1346,689,1238,383,1799,1019,1166,748,999,844
47,633,355,937,639,1348,689,1238,384,1799,1019,1166,748,1000,844
48,634,355,938,638,1348,689,1240,383,1799,1019,1166,747,999,843
49,634,354,937,639,1348,690,1241,384,1800,1020,1165,749,1000,843
50,632,354,937,638,1348,690,1242,386,1800,1022,1165,747,1000,844
51,632,354,938,638,1348,690,1240,387,1800,1021,1163,747,1000,843
52,632,353,938,637,1349,689,1241,386,1800,1022,1164,748,1001,843
53,632,355,938,635,1349,690,1241,387,1801,1023,1165,748,1000,843
54,632,353,939,635,1348,691,1240,388,1801,1023,1165,750,999,844
55,632,353,939,635,1347,692,1242,386,1799,1022,1166,748,1000,845
56,633,354,939,635,1347,692,1242,387,1800,1023,1165,750,999,847
57,632,354,939,634,1347,693,1241,388,1800,1023,1166,751,999,847
58,632,353,940,635,1347,693,1240,388,1800,1023,1166,749,999,847
59,632,352,940,634,1346,693,1238,389,1800,1024,1168,749,999,846
60,630,353,940,634,1347,694,1238,388,1801,1024,1168,751,999,848
61,631,353,939,635,1346,693,1237,388,1801,1024,1166,751,998,846
62,632,352,939,635,1346,695,1237,389,1801,1023,1166,750,999,846
63,631,353,940,634,1346,694,1236,388,1800,1023,1166,749,998,845
64,631,353,939,635,1347,696,1237,389,1800,1025,1167,751,1000,846
65,631,352,939,636,1345,694,1236,388,1800,1026,1168,749,998,846
66,631,352,939,636,1347,695,1237,387,1800,1026,1168,749,1000,844
67,632,352,938,635,1348,694,1237,389,1800,1026,1167,748,998,844
68,631,352,938,636,1347,695,1237,390,1799,1026,1166,750,1000,844
69,630,351,938,635,1346,695,1236,389,1800,1025,1167,748,1000,843
70,631,351,938,635,1347,694,1236,390,1799,1026,1166,747,999,842
