,Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21
0,1,497.0,571.0,1429,961,330,1057,489,495,586,230,1096,579,1688,524,530.0,481.0,666,93,270.0,189.0,1503,262,1334,176,648,53,1303,905,1138,666,350,661,492,67,1211,358,368,67,1440,926,131,651
1,2,498.0,572.0,1429,962,330,1055,490,496,586,231,1096,580,1688,523,530.0,482.0,665,92,270.0,188.0,1502,263,1334,176,647,54,1303,905,1140,667,349,661,492,68,1212,358,368,65,1439,926,130,651
2,3,498.0,572.0,1428,963,329,1055,490,495,586,230,1096,580,1688,524,532.0,482.0,665,92,270.0,188.0,1502,263,1333,177,647,52,1302,905,1139,668,351,663,491,67,1211,359,368,67,1440,926,129,649
3,4,498.0,572.0,1428,963,329,1054,490,496,587,231,1096,580,1689,524,531.0,482.0,665,91,271.0,188.0,1502,263,1333,176,647,54,1301,903,1140,667,350,663,491,67,1212,360,369,66,1440,926,130,650
4,5,499.0,572.0,1429,962,330,1055,489,497,586,231,1097,581,1690,523,532.0,480.0,666,93,272.0,188.0,1502,262,1332,177,647,54,1301,905,1141,667,350,662,491,67,1212,360,368,66,1440,926,129,649
5,6,499.0,572.0,1428,963,329,1054,490,498,586,230,1097,581,1689,522,532.0,480.0,666,92,271.0,187.0,1502,263,1334,176,647,54,1301,906,1140,667,350,663,492,68,1211,359,369,67,1439,926,129,648
6,7,499.0,569.0,1429,963,330,1055,489,497,586,229,1098,582,1689,522,531.5,480.5,666,92,261.0,185.0,1502,263,1335,177,648,54,1301,906,1140,668,351,662,491,68,1212,359,368,67,1439,926,129,648
7,8,498.0,568.0,1428,963,329,1055,487,497,587,229,1098,582,1690,522,532.0,481.0,666,93,243.0,188.5,1502,262,1334,177,647,52,1301,907,1141,667,351,661,492,68,1213,359,368,66,1439,927,129,649
8,9,496.0,556.0,1430,963,331,1055,489,497,587,229,1098,582,1690,522,532.0,480.0,666,92,241.5,185.0,1502,262,1334,178,648,53,1301,908,1142,667,351,661,491,67,1214,360,368,67,1439,926,131,648
9,10,495.5,557.5,1429,963,330,1054,490,496,587,229,1098,581,1690,522,533.0,480.0,666,91,243.5,186.5,1502,262,1334,178,648,52,1299,907,1142,667,350,659,493,67,1215,359,368,66,1439,926,130,649
10,11,500.5,557.5,1429,963,329,1054,490,496,586,230,1098,580,1691,522,532.0,480.0,667,93,269.0,188.0,1503,264,1334,179,648,52,1298,907,1142,667,352,659,493,68,1215,359,369,66,1438,925,129,649
11,12,497.5,569.0,1429,964,328,1053,489,497,586,229,1098,580,1690,522,533.0,480.0,666,92,270.0,189.0,1503,263,1334,180,649,53,1298,907,1142,667,351,657,492,67,1217,358,369,66,1439,926,128,649
12,13,497.5,569.5,1430,963,328,1051,492,498,588,231,1099,581,1691,521,532.0,480.0,666,92,270.0,188.0,1503,261,1333,179,647,53,1297,908,1143,667,351,658,494,68,1218,359,369,66,1439,926,129,652
13,14,497.5,570.0,1430,964,328,1051,492,499,589,230,1098,581,1690,521,532.0,481.0,665,92,270.0,189.0,1503,262,1333,181,648,54,1298,908,1143,667,351,660,494,68,1218,360,369,66,1439,926,128,652
14,15,496.5,569.5,1430,962,327,1052,491,499,589,231,1098,581,1690,521,532.0,481.0,666,92,270.0,189.0,1502,263,1334,181,648,55,1298,909,1142,666,351,659,493,68,1218,360,367,66,1439,926,130,652
15,16,496.5,569.5,1430,962,327,1051,491,500,589,231,1099,581,1691,521,531.0,481.0,665,93,270.0,188.0,1501,263,1333,182,649,54,1297,910,1142,666,351,659,493,69,1220,360,368,65,1439,926,130,651
16,17,496.0,571.0,1430,963,328,1050,491,500,589,231,1099,583,1690,520,531.0,481.0,665,93,270.0,189.0,1502,264,1334,181,649,53,1298,909,1141,667,352,660,493,68,1220,360,367,65,1440,926,130,651
17,18,498.0,571.0,1429,963,327,1052,489,499,589,232,1099,582,1690,522,530.0,481.0,664,93,270.0,189.0,1501,264,1334,182,648,53,1297,909,1138,667,353,660,494,68,1221,361,367,65,1440,927,130,653
18,19,497.0,571.0,1429,964,327,1050,490,500,589,232,1099,584,1690,521,531.0,481.0,666,92,269.0,188.0,1501,264,1333,181,649,53,1297,908,1138,667,352,660,493,68,1222,362,368,65,1440,927,132,653
19,20,497.0,570.0,1429,963,327,1051,489,499,590,232,1100,584,1691,522,531.0,481.0,665,93,269.0,188.0,1500,264,1333,181,649,54,1297,908,1138,667,353,661,494,68,1221,362,368,65,1440,926,132,653
20,21,497.0,571.0,1431,963,326,1051,490,500,589,231,1100,584,1690,522,531.0,481.0,665,93,268.0,189.0,1501,264,1332,182,650,53,1297,908,1138,667,354,661,494,69,1221,362,368,66,1439,926,132,652
21,22,495.0,569.0,1430,964,326,1051,490,499,590,231,1100,584,1690,522,530.0,482.0,665,93,269.0,190.0,1502,265,1334,182,649,55,1295,907,1137,666,352,662,494,68,1221,362,369,66,1439,926,132,652
22,23,496.0,571.0,1430,964,326,1052,489,498,590,231,1100,583,1691,521,528.0,480.0,666,94,268.0,190.0,1502,263,1335,182,650,55,1295,907,1138,667,351,662,494,69,1222,362,368,66,1440,926,132,651
23,24,496.0,570.0,1430,963,327,1053,490,497,591,230,1100,583,1691,522,528.0,481.0,665,93,269.0,190.0,1502,264,1336,181,649,55,1295,907,1135,667,352,662,494,70,1222,362,370,67,1439,926,132,652
24,25,496.0,571.0,1431,963,326,1053,490,498,592,230,1100,583,1691,521,529.0,480.0,667,94,269.0,191.0,1502,262,1336,181,649,56,1295,907,1135,667,352,663,495,70,1222,363,370,65,1440,925,131,651
25,26,496.0,571.0,1429,964,327,1051,489,498,590,231,1100,584,1690,522,529.0,480.0,667,93,269.0,192.0,1501,261,1336,181,649,56,1295,908,1135,668,351,663,495,69,1222,362,372,66,1439,925,132,650
