,x0,y0,size : 0,x1,y1,size : 1,x2,y2,size : 2,x3,y3,size : 3,x4,y4,size : 4,x5,y5,size : 5
0,1573.5,372.5,2.77411660785441e-06,1621.0,548.0,3.819983596576246e-06,1142.5,248.0,2.396287395335101e-06,1073.5,84.5,3.1723237081108975e-06,630.0,230.0,3.118212623122633e-06,1273.0,653.5,2.039276903362957e-06
1,1573.5,373.5,,1620.5,547.5,,1144.5,247.5,,1074.5,84.0,,631.0,230.5,,1273.0,652.0,
2,1573.5,373.5,,1621.5,547.5,,1143.5,248.0,,1075.0,85.0,,630.0,229.5,,1274.5,651.5,
3,1573.0,372.5,,1622.0,548.0,,1144.0,247.0,,1073.0,85.5,,629.5,228.5,,1273.0,651.0,
4,1573.0,372.0,,1621.5,547.5,,1144.0,248.0,,1073.0,85.0,,629.5,229.5,,1274.0,650.5,
5,1574.0,372.5,,1622.5,547.5,,1144.5,247.5,,1072.5,84.0,,629.5,229.5,,1274.5,651.0,
6,1574.5,371.5,,1622.5,548.5,,1145.5,248.5,,1073.0,85.5,,629.0,228.5,,1274.5,650.0,
7,1574.5,372.5,,1622.0,548.0,,1145.5,248.5,,1073.5,85.5,,629.0,228.0,,1273.0,652.0,
8,1573.5,372.5,,1621.0,548.0,,1145.5,248.0,,1073.5,85.0,,629.5,230.0,,1273.5,651.5,
9,1574.5,372.5,,1622.0,548.0,,1145.0,248.5,,1073.0,86.0,,629.5,229.0,,1273.0,652.0,
10,1574.5,372.5,,1621.5,548.5,,1144.0,250.0,,1072.0,86.0,,629.5,230.0,,1272.5,651.5,
11,1574.5,373.5,,1623.0,549.0,,1145.0,250.5,,1073.0,85.0,,630.0,231.0,,1272.0,653.0,
12,1574.5,373.5,,1622.5,548.5,,1147.0,251.0,,1073.0,86.0,,630.0,231.0,,1271.0,654.0,
13,1575.0,373.5,,1622.0,549.0,,1147.0,250.5,,1072.5,84.5,,632.5,231.0,,1271.5,655.5,
14,1573.5,373.5,,1622.0,548.0,,1149.0,251.0,,1073.5,85.5,,630.5,231.0,,1271.5,656.5,
15,1573.5,372.5,,1621.5,548.5,,1149.5,250.5,,1074.0,86.0,,631.0,230.5,,1271.0,657.0,
16,1574.0,373.0,,1621.0,548.0,,1149.5,250.0,,1074.0,86.0,,631.5,231.5,,1270.5,655.5,
17,1575.0,372.0,,1623.0,549.0,,1150.5,249.5,,1074.5,85.0,,632.0,232.5,,1270.0,655.5,
18,1574.0,372.5,,1623.5,548.5,,1151.0,250.0,,1074.5,86.5,,631.5,231.5,,1272.5,654.5,
19,1574.0,373.5,,1622.5,547.5,,1151.5,250.0,,1076.0,86.0,,631.5,231.0,,1272.0,655.0,
20,1573.0,373.5,,1621.5,548.5,,1150.0,249.0,,1076.5,86.5,,633.0,230.5,,1272.5,654.5,
21,1572.5,372.5,,1621.5,548.5,,1151.5,249.0,,1075.5,87.5,,632.5,230.5,,1272.0,654.0,
22,1573.0,372.0,,1621.5,548.5,,1151.5,248.5,,1075.0,88.0,,631.5,230.0,,1270.5,654.0,
23,1573.5,373.5,,1623.0,547.0,,1151.0,248.0,,1075.0,87.0,,631.0,230.0,,1269.5,652.0,
24,1574.0,373.5,,1623.5,547.5,,1150.5,247.0,,1075.5,88.5,,631.5,231.0,,1270.0,651.5,
25,1574.0,373.0,,1622.5,548.5,,1150.5,247.0,,1075.5,88.5,,630.0,230.5,,1269.0,651.0,
26,1574.0,372.0,,1622.5,548.5,,1149.5,247.0,,1075.5,89.5,,630.0,231.5,,1268.5,650.5,
27,1573.5,372.5,,1623.5,547.5,,1149.0,246.0,,1075.5,89.5,,630.5,231.0,,1268.5,649.5,
28,1574.0,373.0,,1623.5,547.5,,1147.5,245.5,,1074.5,89.5,,630.0,231.0,,1269.5,650.5,
29,1573.5,373.0,,1623.5,548.5,,1145.5,245.5,,1073.5,90.5,,631.0,231.5,,1269.5,650.5,
30,1573.5,373.5,,1623.0,548.5,,1145.5,245.5,,1074.5,90.0,,630.0,231.5,,1269.0,650.0,
31,1573.5,373.0,,1623.0,549.0,,1143.5,245.5,,1074.5,90.5,,631.5,232.5,,1269.5,650.5,
32,1574.0,372.5,,1624.0,549.5,,1143.0,247.0,,1074.0,91.0,,631.5,233.5,,1270.0,650.5,
33,1574.0,372.5,,1623.5,549.5,,1143.5,247.5,,1075.0,90.0,,630.5,233.5,,1270.0,648.0,
34,1574.5,372.5,,1624.5,549.5,,1142.5,246.5,,1076.0,91.5,,629.0,232.5,,1270.0,649.0,
35,1574.5,372.5,,1625.0,551.0,,1143.5,246.0,,1075.5,91.5,,629.0,233.0,,1269.0,647.5,
36,1575.0,372.5,,1624.0,552.0,,1144.5,245.5,,1075.5,91.5,,628.5,233.0,,1269.0,647.5,
37,1574.5,372.5,,1624.5,551.5,,1145.5,243.5,,1075.5,90.5,,627.5,233.5,,1272.0,648.0,
38,1574.0,372.5,,1625.0,551.0,,1145.0,243.5,,1076.5,91.5,,628.5,234.0,,1271.0,648.0,
39,1574.5,373.0,,1624.0,550.5,,1146.0,243.5,,1076.5,91.0,,627.5,234.0,,1271.0,650.0,
40,1575.0,374.0,,1626.0,551.5,,1146.0,242.5,,1077.5,91.5,,627.0,234.5,,1269.0,651.0,
41,1573.5,372.5,,1626.0,551.0,,1145.5,244.0,,1076.0,91.0,,628.5,234.5,,1268.0,651.0,
42,1574.5,373.0,,1626.0,551.0,,1145.0,244.5,,1076.0,91.0,,628.5,234.0,,1269.5,650.5,
43,1574.0,372.5,,1627.0,551.0,,1144.5,244.0,,1077.0,92.0,,628.5,234.5,,1270.5,651.0,
44,1574.0,373.5,,1627.0,551.0,,1146.5,244.0,,1077.0,92.0,,628.5,234.5,,1270.0,651.5,
45,1574.5,372.5,,1628.0,551.0,,1146.5,244.0,,1075.0,91.5,,629.0,233.5,,1270.0,653.0,
46,1574.0,372.5,,1628.5,552.5,,1145.5,243.5,,1076.0,90.5,,630.5,233.5,,1269.0,654.5,
47,1574.0,373.0,,1629.5,551.5,,1145.0,243.0,,1076.0,92.0,,630.5,233.0,,1268.5,654.0,
48,1574.0,374.0,,1629.5,551.5,,1144.0,242.0,,1075.0,92.0,,631.0,234.0,,1267.5,653.5,
49,1573.5,373.5,,1628.5,551.5,,1143.0,242.0,,1075.0,92.0,,630.5,234.0,,1267.5,654.0,
50,1573.0,374.0,,1629.5,551.5,,1143.5,242.5,,1074.5,92.5,,632.0,234.0,,1267.5,655.0,
51,1573.0,373.0,,1628.5,551.5,,1143.5,241.5,,1073.5,93.0,,632.5,234.0,,1268.0,654.0,
52,1573.5,374.5,,1628.5,552.5,,1143.5,241.5,,1073.5,93.5,,633.0,236.0,,1268.0,655.0,
53,1573.0,374.0,,1628.5,553.5,,1144.5,240.5,,1074.0,93.5,,632.0,236.0,,1267.5,655.0,
54,1573.5,373.5,,1627.5,552.5,,1145.5,240.5,,1074.0,93.0,,632.0,236.5,,1268.5,654.5,
55,1574.5,373.5,,1627.5,553.5,,1144.5,239.5,,1075.0,93.0,,631.5,237.5,,1269.5,654.5,
56,1574.0,373.0,,1628.0,554.0,,1144.0,239.0,,1074.0,93.0,,631.5,237.5,,1270.0,654.5,
57,1574.0,374.0,,1628.0,554.0,,1143.0,238.0,,1073.5,94.0,,631.0,237.0,,1269.5,654.5,
58,1574.0,373.0,,1628.5,553.5,,1141.0,238.0,,1073.5,92.5,,630.0,239.0,,1270.0,651.5,
59,1573.5,373.5,,1628.5,554.5,,1140.5,238.0,,1074.0,93.0,,630.5,239.5,,1270.5,652.5,
60,1574.0,373.0,,1629.0,554.0,,1140.5,238.5,,1074.0,93.0,,630.5,239.0,,1269.5,651.5,
61,1572.5,373.0,,1629.0,554.0,,1142.0,238.5,,1074.5,93.5,,629.5,238.5,,1269.0,651.5,
62,1571.5,372.5,,1628.5,553.5,,1140.5,237.5,,1074.5,93.5,,630.0,238.5,,1269.0,652.0,
63,1572.5,373.5,,1629.5,554.5,,1139.5,237.5,,1074.5,93.5,,630.5,239.5,,1269.0,650.5,
64,1574.0,374.0,,1629.0,555.0,,1139.5,235.5,,1074.5,93.5,,630.5,239.5,,1269.0,651.0,
65,1572.5,373.5,,1628.5,555.5,,1139.5,232.5,,1074.5,93.5,,630.0,240.0,,1267.0,651.0,
66,1571.5,373.5,,1628.0,557.0,,1141.5,232.5,,1073.5,93.5,,630.0,240.0,,1267.0,651.0,
67,1572.5,373.5,,1627.0,554.0,,1141.5,233.5,,1074.5,93.5,,629.5,239.5,,1267.0,650.0,
68,1572.0,374.5,,1627.5,554.5,,1141.5,233.5,,1073.5,94.5,,628.5,238.5,,1267.5,649.5,
69,1572.0,374.0,,1627.5,553.5,,1142.5,232.5,,1073.5,93.5,,629.5,237.5,,1267.0,648.0,
70,1573.0,374.0,,1628.0,553.0,,1142.5,233.5,,1073.5,92.5,,629.5,236.5,,1267.0,647.0,
71,1572.5,373.5,,1627.0,554.0,,1141.5,232.5,,1073.5,93.5,,629.0,236.5,,1266.0,647.0,
72,1572.5,375.5,,1626.0,554.0,,1140.5,232.5,,1073.5,94.5,,628.5,236.5,,1265.5,646.0,
73,1573.0,375.0,,1626.5,554.5,,1140.5,232.5,,1074.5,95.5,,628.0,236.0,,1266.0,646.0,
74,1573.5,374.5,,1626.5,555.5,,1141.5,233.5,,1074.5,95.5,,628.0,235.0,,1266.0,646.0,
75,1572.0,373.5,,1626.0,556.0,,1140.5,233.5,,1073.5,96.5,,628.0,234.5,,1266.0,646.0,
76,1573.0,374.5,,1625.0,556.0,,1141.5,232.5,,1073.5,97.5,,627.5,235.5,,1266.0,648.0,
77,1572.5,374.5,,1625.5,555.5,,1142.5,232.5,,1073.5,97.5,,628.0,236.0,,1265.5,646.5,
78,1572.0,374.0,,1624.5,555.5,,1143.5,232.5,,1074.5,98.5,,629.0,235.0,,1265.5,646.0,
79,1573.0,373.5,,1624.0,556.0,,1143.5,232.5,,1074.5,97.5,,628.0,234.0,,1263.0,647.5,
80,1574.0,373.0,,1624.0,555.0,,1142.5,232.0,,1074.5,96.5,,627.0,235.0,,1262.5,648.5,
